Subject,Relation,Object
논문,인용,논문
논문,저자,연구자
연구자,공헌,논문
논문,실험,데이터
저널,게재,논문
연구주제,관련데이터,데이터
연구주제,관련논문,논문
연구자,소속,기관
기관,배포,데이터
기관,지원,논문
논문,관련키워드,키워드
키워드,관련주제,연구주제
연구주제,관련주제,연구주제
기관,개최,학술대회
기관,후원,학술대회
논문,발표,학술대회
학술대회,출판,저널
